kategori,urun_adi,miktar,fiyat,market_adi,resim_linki
Tuz Baharat ve Harçlar,Soğan Tozu & Sarımsak Tozu 50 Gr Destan,50 G,"19,50",MarketFiyati.org.tr,
Ekmek ve Unlu Mamüller,Uno Anadolu Sade Pasta Altı 280 Gr,280 G,"52,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1042997.jpg
Ekmek ve Unlu Mamüller,Kepek Ekmeği,,"19,95",MarketFiyati.org.tr,"https://images.ceptesok.com/cdn-cgi/image/width=500,height=500,fit=pad,quality=100/product-assets/sub-folder/e834e468-10f1-41b2-b507-28e6d30c427a.png"
Ekmek ve Unlu Mamüller,Myfresh Yufka 500 Gr,500 G,"64,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_271175.jpg
Ekmek ve Unlu Mamüller,Unabella Pizza Tabanı 4 Lü 480 Gr,480 G,"182,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_449548.jpg
Ekmek ve Unlu Mamüller,Rapata Leblebili Kurabiye 320 Gr,320 G,"69,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1434852.jpg
Ekmek ve Unlu Mamüller,Unistanbul Cartocci Çikolatalı Portakallı Ekmek Cipsi 110 Gr,110 G,"87,40",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/hbMaBLuX1T_500x500.png
Ekmek ve Unlu Mamüller,Kurabiye 500 Gr Nimet,500 G,"69,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1436145.jpg
Ekmek ve Unlu Mamüller,Uno Anadolu Çavdarlı Tava Ekmegi 450 Gr,450 G,"53,25",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1442447.jpg
Ekmek ve Unlu Mamüller,Unebella Tortilla Sade 25 Cm 650 Gr,650 G,"172,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_281645.jpg
Ekmek ve Unlu Mamüller,Bereket Yufka 5 Yaprak 500 Gr,500 G,"102,25",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_642285.jpg
Ekmek ve Unlu Mamüller,Mini Kurabiye Ay Çekirdekli 250 Gr Nimet,250 G,"69,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1433822.jpg
Ekmek ve Unlu Mamüller,Bisto Sade Pasta Altı 280 Gr,280 G,"52,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_30990.jpg
Ekmek ve Unlu Mamüller,Ezgi Beypazarı Kurusu 350 Gr,350 G,"115,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_93533.jpg
Ekmek ve Unlu Mamüller,Alaçatı Kurabiyecisi Çıtır Top Kurabiye 180 Gr,180 G,"169,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_977576.jpg
Ekmek ve Unlu Mamüller,Kurabiye Kavala 290 Gr Nimet,290 G,"57,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_978960.jpg
Ekmek ve Unlu Mamüller,Form Kızarmış Kepekli Ekmek 138 Gr Eti,138 G,"45,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_845972.jpg
Ekmek ve Unlu Mamüller,Kurabiye Hindistan Cevizli Çikolata Parçacıklı 500 Gr Nimet,500 G,"69,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1330816.jpg
Ekmek ve Unlu Mamüller,Tandır Lavaş Ekmeği 4 Lü 276 Gr Nimet,276 G,"51,00",MarketFiyati.org.tr,https://reimg-carrefour.mncdn.com/mnresize/600/600/productimage/30477147/30477147_0_MC/8865858420786_1741344150748.jpg
Ekmek ve Unlu Mamüller,Bisto Ayçekirdekli Galeta 150 Gr,150 G,"34,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1980333.jpg
Ekmek ve Unlu Mamüller,Galez Antep Fıstıklı Katmer 2 Li 270 Gr,270 G,"208,00",MarketFiyati.org.tr,"https://images.ceptesok.com/cdn-cgi/image/width=500,height=500,fit=pad,quality=100/product-assets/sub-folder/b676fac5-d1d8-47da-b426-8deb74ade057.png"
Ekmek ve Unlu Mamüller,Tamköy Ekşi Mayalı Ekmek,,"30,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_425608.jpg
Ekmek ve Unlu Mamüller,Untad Sandiviç Ekonomik Paket 6x60 Gr,60 G,"79,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1460652.jpg
Süt Ürünleri ve Kahvaltılık,Koska 300 Gr Tahin,300 G,"122,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1231187.jpg
Süt Ürünleri ve Kahvaltılık,Torku Banada Kakaolu Fındık Kreması 1 Kg,1 Kg,"286,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_249090.jpg
Süt Ürünleri ve Kahvaltılık,Tarsüt Kaşar Peynir 1000 Gr,1000 G,"275,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1895095.jpg
Süt Ürünleri ve Kahvaltılık,Tarsüt Bergama Tulum Peyniri 400 Gr,400 G,"145,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_653414.jpg
Süt Ürünleri ve Kahvaltılık,Doğal Doktorum Organik Keçiboynuzu Özü 640 Gr,640 G,"109,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_918577.jpg
Süt Ürünleri ve Kahvaltılık,Peynir Kaşar 1 Kg Tarabya,1 Kg,"290,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_273097.jpg
Süt Ürünleri ve Kahvaltılık,Koska 380 Gr Dut Pekmezi,380 G,"130,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1905384.jpg
Süt Ürünleri ve Kahvaltılık,Tire Süt Tam Yağlı Olgunlaştırılmış Byzpeynir 450 Gr,450 G,"219,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1625571.jpg
Süt Ürünleri ve Kahvaltılık,Pols Gurme Yerli Susam Sade Tahin Helvası 300 Gr,300 G,"89,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1460652.jpg
Süt Ürünleri ve Kahvaltılık,Mis Uht Krema %18 Yağlı 200 Ml,200 Ml,"34,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_247068.jpg
Süt Ürünleri ve Kahvaltılık,Pınar Protein Çilekli 500 Ml,500 Ml,"58,25",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_319643.jpg
Süt Ürünleri ve Kahvaltılık,Lio Siyah Zeytin Kuru Sele ( 351 - 380 ) 500 Gr,500 G,"129,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_563078.jpg
Süt Ürünleri ve Kahvaltılık,Calmio Tam Yağlı Taze Kaşar Peyniri 600 Gr,600 G,"179,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1070796.jpg
Süt Ürünleri ve Kahvaltılık,Siyah Zeytin Sele 351-380k 800 Gr Cem,800 G,"99,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1564230.jpg
Süt Ürünleri ve Kahvaltılık,Sütaş Tam Yağlı Süzme Peynir 250 Gr,250 G,"64,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/260x260/tkk-200-ml-cikolatali-sut-_1440995.jpg
Süt Ürünleri ve Kahvaltılık,Dimes Antep Fıstıklı Milkshake 310 Ml+1 Market,310 Ml,"37,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_248146.jpg
Süt Ürünleri ve Kahvaltılık,Tarım Kredi Yağlı Salamura Xs - 2xs ( 321 - 380 ) 500 Gr,500 G,"74,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_325469.jpg
Süt Ürünleri ve Kahvaltılık,Kovandan Çiçek Balı 460 Gr,460 G,"113,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_753008.jpg
Süt Ürünleri ve Kahvaltılık,Tarım Kredi Çikolatalı Süt 200 Ml,200 Ml,"10,75",MarketFiyati.org.tr,"https://images.ceptesok.com/cdn-cgi/image/width=600,height=600,fit=pad,quality=100/product-assets/sub-folder/364a8540-dd1a-47ef-9ffe-a2432ef4c5e2.jpg"
Süt Ürünleri ve Kahvaltılık,Carrefour Kaşar Peynir 700 Gr,700 G,"215,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1434716.jpg
Süt Ürünleri ve Kahvaltılık,Tarım Kredi Çifte Kavrulmuş Tahin 1 Kg,1 Kg,"169,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1435975.jpg
Süt Ürünleri ve Kahvaltılık,Cem D.çizik Yeşil Zeytin 291-320 200 Gr+2 Market,200 G,"31,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_405325.jpg
Et Tavuk ve Balık,Aytaç Tavuk Dürüm Tantuni 165 Gr,165 G,"42,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1434819.jpg
Et Tavuk ve Balık,Bakpiliç Donuk Küçük Tabaklıo Fileto,,"220,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_2000872.jpg
Et Tavuk ve Balık,Dondurulmuş Döner Piliç 1000 Gr Lezita,1000 G,"189,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_318170.jpg
Et Tavuk ve Balık,İnci Dana Kuzu Kaşarlı Köfte 500 Gr,500 G,"250,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1602619.jpg
Et Tavuk ve Balık,Dardanel Sushi Kyoto Mix,,"249,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_911719.jpg
Et Tavuk ve Balık,Uzman Kasap Klasik Köfte 320 Gr,320 G,"199,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1264792.jpg
Et Tavuk ve Balık,Sosis Hindi Kokteyl 170 Gr Pınar Aç Bitir,170 G,"42,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1441236.jpg
Et Tavuk ve Balık,Dardanel Sushi Philadelphia Roll,,"249,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1122202.jpg
Et Tavuk ve Balık,Sucuk Dana Kangal Isıl 250 Gr Baştacı,250 G,"135,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_286565.jpg
Et Tavuk ve Balık,Dondurulmuş Köfte Dana-kuzu Cızbız 390 Gr Torku,390 G,"225,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_322187.jpg
Et Tavuk ve Balık,Dondurulmuş Piliç Acılı Kebap 1000 Gr Banvit,1000 G,"105,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_286409.jpg
Et Tavuk ve Balık,Piliç Pirzola Kelebek Tazem,,"165,00",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/wnnVSluWWm_500x500.png
Et Tavuk ve Balık,Sultan Dilimli Dana Sucuk Isıl İşlem 250 Gr,250 G,"145,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1227205.jpg
Et Tavuk ve Balık,Piliç Çorbalık Tazem,,"62,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1433148.jpg
Et Tavuk ve Balık,Erşan Dana Döner 250 Gr,250 G,"159,95",MarketFiyati.org.tr,"https://images.ceptesok.com/cdn-cgi/image/width=600,height=600,fit=pad,quality=100/product-assets/sub-folder/cb9927e6-5076-4519-aa6d-8edc994ecc23.jpg"
Et Tavuk ve Balık,Aytaç Dana Sosis 5 Li 190 Gr,190 G,"90,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_985565.jpg
Et Tavuk ve Balık,Lezita Piliç Kokteyl Sosis 1000 Gr,1000 G,"125,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_981683.jpg
Et Tavuk ve Balık,Dondurulmuş Steak Burger Dana 400 Gr Bonfilet,400 G,"229,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_335102.jpg
Et Tavuk ve Balık,Polonez Fıstıklı Salam 90 Gr,90 G,"89,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_216326.jpg
Et Tavuk ve Balık,Döner Dana 250 Gr Baştacı,250 G,"119,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_185275.jpg
Et Tavuk ve Balık,Dondurulmuş Somon Dilimli 500 Gr %10 Glaze,500 G,"95,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_984793.jpg
Et Tavuk ve Balık,Kanat Tavuk Tabak,,"203,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1432716.jpg
Et Tavuk ve Balık,Balık Dünyası Et Midye 500 Gr+1 Market,500 G,"149,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_281187.jpg
Et Tavuk ve Balık,Keskinoğlu Poşetli Piliç 15-,,"1794,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1076071.jpg
