kategori,urun_adi,miktar,fiyat,market_adi,resim_linki
Kahve,Soğuk Kahve 250 Ml Xpress Nescafe,250 Ml,"55,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_92365.jpg
Kahve,Kahve 2 Si 1 Arada Sütlü Köpüklü 10 Gr Nescafe,10 G,"7,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1433096.jpg
Gazlı İçecekler,Gazlı İçecek Gazoz 1.5 Lt Nazilli,5 Lt,"35,00",MarketFiyati.org.tr,https://reimg-carrefour.mncdn.com/mnresize/600/600/productimage/30261696/30261696_0_MC/8836988567602_1634198588053.jpg
Gazlı İçecekler,Buzlu Çay Gazlı Şeftali Aroma 1 Lt Sırma,1 Lt,"27,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_642633.jpg
Gazlı İçecekler,Meyveli Krdt.lime+bğrtl.1lt Dms Krm Koli,1lt,"34,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1441327.jpg
Gazlı İçecekler,Mey.ar.iç.ana.hi.cv. 1.5l Le'mandy Kuşe,,"27,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1223508.jpg
Gazlı İçecekler,Enerji Içeceği Şeftali 250 Ml Predator,250 Ml,"25,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1432425.jpg
Gazlı İçecekler,Meyveli İçecek Limonata 1 Lt Meysu,1 Lt,"39,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1102904.jpg
Gazlı İçecekler,Enerji İçeceği Red Bull 4x250ml,250ml,"149,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1894196.jpg
Gazlı İçecekler,Mey.iç. Parçacıklı 250 Ml Juss Karma Koli,250 Ml,"19,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1429186.jpg
Gazlı İçecekler,Meyveli Karışık Meyveli Aro. Içe. 1 Lt Juss,1 Lt,"18,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1138367.jpg
